Demographic;Borough;Cohort;Total Cohort;Total Grads - n;Total Grads - % of cohort;Total Regents - n;Total Regents - % of cohort;Total Regents - % of grads;Advanced Regents - n;Advanced Regents - % of cohort;Advanced Regents - % of grads;Regents w/o Advanced - n;Regents w/o Advanced - % of cohort;Regents w/o Advanced - % of grads;Local - n;Local - % of cohort;Local - % of grads;Still Enrolled - n;Still Enrolled - % of cohort;Dropped Out - n;Dropped Out - % of cohort
Hispanic;Bronx;2003;7,583;3,131;41.3;1,708;22.5;54.6;380;5;12.1;1,328;17.5;42.4;1,423;18.8;45.4;2,548;33.6;1,598;21.1
Hispanic;Bronx;2004;8,009;3,810;47.6;2,146;26.8;56.3;432;5.4;11.3;1,714;21.4;45;1,664;20.8;43.7;2,463;30.8;1,490;18.6
Hispanic;Bronx;2005;8,616;4,356;50.6;2,842;33;65.2;570;6.6;13.1;2,272;26.4;52.2;1,514;17.6;34.8;2,392;27.8;1,351;15.7
Hispanic;Bronx;2006;8,850;4,469;50.5;3,121;35.3;69.8;534;6;11.9;2,587;29.2;57.9;1,348;15.2;30.2;2,360;26.7;1,507;17
Hispanic;Bronx;Aug 2006;8,850;4,896;55.3;3,294;37.2;67.3;540;6.1;11;2,754;31.1;56.3;1,602;18.1;32.7;1,950;22;1,490;16.8
Hispanic;Brooklyn;2001;4,393;1,619;36.9;815;18.6;50.3;278;6.3;17.2;537;12.2;33.2;806;18.3;49.8;1,563;35.6;1,045;23.8
Hispanic;Brooklyn;2002;4,662;1,803;38.7;937;20.1;52;236;5.1;13.1;701;15;38.9;867;18.6;48.1;1,649;35.4;1,052;22.6
Hispanic;Brooklyn;2003;4,876;2,055;42.1;1,216;24.9;59.2;422;8.7;20.5;794;16.3;38.6;839;17.2;40.8;1,700;34.9;993;20.4
Hispanic;Brooklyn;2004;5,170;2,332;45.1;1,485;28.7;63.7;480;9.3;20.6;1,005;19.4;43.1;847;16.4;36.3;1,716;33.2;973;18.8
Hispanic;Brooklyn;2005;5,244;2,529;48.2;1,706;32.5;67.5;499;9.5;19.7;1,207;23;47.7;823;15.7;32.5;1,690;32.2;821;15.7
Hispanic;Brooklyn;2006;5,327;2,634;49.4;1,976;37.1;75;461;8.7;17.5;1,515;28.4;57.5;658;12.4;25;1,582;29.7;903;17
Hispanic;Brooklyn;Aug 2006;5,327;2,845;53.4;2,070;38.9;72.8;465;8.7;16.3;1,605;30.1;56.4;775;14.5;27.2;1,375;25.8;899;16.9
Hispanic;Manhattan;2001;5,739;2,924;50.9;1,678;29.2;57.4;389;6.8;13.3;1,289;22.5;44.1;1,247;21.7;42.6;1,471;25.6;1,127;19.6
Hispanic;Manhattan;2002;5,985;2,974;49.7;1,823;30.5;61.3;379;6.3;12.7;1,444;24.1;48.6;1,155;19.3;38.8;1,857;31;965;16.1
Hispanic;Manhattan;2003;6,613;3,126;47.3;1,968;29.8;63;605;9.1;19.4;1,363;20.6;43.6;1,158;17.5;37;2,285;34.6;1,053;15.9
Hispanic;Manhattan;2004;7,276;3,747;51.5;2,382;32.7;63.6;755;10.4;20.1;1,627;22.4;43.4;1,365;18.8;36.4;2,251;30.9;1,147;15.8
Hispanic;Manhattan;2005;7,555;4,231;56;2,954;39.1;69.8;650;8.6;15.4;2,304;30.5;54.5;1,276;16.9;30.2;2,083;27.6;942;12.5
Hispanic;Manhattan;2006;7,766;4,478;57.7;3,514;45.2;78.5;699;9;15.6;2,815;36.2;62.9;964;12.4;21.5;1,976;25.4;1,009;13
Hispanic;Manhattan;Aug 2006;7,766;4,768;61.4;3,652;47;76.6;704;9.1;14.8;2,948;38;61.8;1,116;14.4;23.4;1,693;21.8;1,003;12.9
Hispanic;Queens;2001;5,335;2,371;44.4;1,513;28.4;63.8;402;7.5;17;1,111;20.8;46.9;861;16.1;36.3;1,755;32.9;1,051;19.7
Hispanic;Queens;2002;5,952;2,656;44.6;1,822;30.6;68.6;476;8;17.9;1,346;22.6;50.7;835;14;31.4;1,941;32.6;1,154;19.4
Hispanic;Queens;2003;5,870;2,709;46.1;1,855;31.6;68.5;573;9.8;21.2;1,282;21.8;47.3;854;14.5;31.5;1,926;32.8;1,106;18.8
Hispanic;Queens;2004;6,424;3,199;49.8;2,340;36.4;73.1;758;11.8;23.7;1,582;24.6;49.5;859;13.4;26.9;2,010;31.3;1,113;17.3
Hispanic;Queens;2005;6,842;3,540;51.7;2,554;37.3;72.1;701;10.2;19.8;1,853;27.1;52.3;986;14.4;27.9;1,875;27.4;1,132;16.5
Hispanic;Queens;2006;6,867;3,879;56.5;3,068;44.7;79.1;765;11.1;19.7;2,303;33.5;59.4;811;11.8;20.9;1,769;25.8;989;14.4
Hispanic;Queens;Aug 2006;6,867;4,216;61.4;3,240;47.2;76.9;769;11.2;18.2;2,471;36;58.6;976;14.2;23.1;1,432;20.9;989;14.4
Hispanic;Staten Island;2001;604;312;51.7;204;33.8;65.4;49;8.1;15.7;155;25.7;49.7;108;17.9;34.6;178;29.5;94;15.6
Hispanic;Staten Island;2002;731;349;47.7;228;31.2;65.3;51;7;14.6;177;24.2;50.7;121;16.6;34.7;217;29.7;133;18.2
Hispanic;Staten Island;2003;760;381;50.1;276;36.3;72.4;84;11.1;22;192;25.3;50.4;105;13.8;27.6;251;33;109;14.3
Hispanic;Staten Island;2004;829;429;51.7;312;37.6;72.7;85;10.3;19.8;227;27.4;52.9;117;14.1;27.3;258;31.1;118;14.2
Hispanic;Staten Island;2005;915;479;52.3;358;39.1;74.7;94;10.3;19.6;264;28.9;55.1;121;13.2;25.3;238;26;127;13.9
Hispanic;Staten Island;2006;906;547;60.4;425;46.9;77.7;114;12.6;20.8;311;34.3;56.9;122;13.5;22.3;194;21.4;116;12.8
Hispanic;Staten Island;Aug 2006;906;564;62.3;433;47.8;76.8;114;12.6;20.2;319;35.2;56.6;131;14.5;23.2;177;19.5;116;12.8
White;Bronx;2001;756;485;64.2;368;48.7;75.9;280;37;57.7;88;11.6;18.1;117;15.5;24.1;153;20.2;95;12.6
White;Bronx;2002;696;473;68;379;54.5;80.1;267;38.4;56.4;112;16.1;23.7;94;13.5;19.9;130;18.7;73;10.5
White;Bronx;2003;649;423;65.2;351;54.1;83;238;36.7;56.3;113;17.4;26.7;72;11.1;17;123;19;87;13.4
White;Bronx;2004;681;467;68.6;388;57;83.1;269;39.5;57.6;119;17.5;25.5;79;11.6;16.9;119;17.5;83;12.2
White;Bronx;2005;644;432;67.1;365;56.7;84.5;244;37.9;56.5;121;18.8;28;67;10.4;15.5;114;17.7;72;11.2
White;Bronx;2006;636;444;69.8;396;62.3;89.2;254;39.9;57.2;142;22.3;32;48;7.5;10.8;99;15.6;77;12.1
White;Bronx;Aug 2006;636;459;72.2;403;63.4;87.8;254;39.9;55.3;149;23.4;32.5;56;8.8;12.2;84;13.2;77;12.1
White;Brooklyn;2001;3,714;2,345;63.1;1,910;51.4;81.4;1,074;28.9;45.8;836;22.5;35.7;438;11.8;18.7;676;18.2;646;17.4
White;Brooklyn;2002;3,619;2,315;64;1,952;53.9;84.3;987;27.3;42.6;965;26.7;41.7;364;10.1;15.7;701;19.4;547;15.1
White;Brooklyn;2003;3,195;2,027;63.4;1,760;55.1;86.8;908;28.4;44.8;852;26.7;42;267;8.4;13.2;615;19.2;510;16
White;Brooklyn;2004;3,090;2,070;67;1,794;58.1;86.7;1,004;32.5;48.5;790;25.6;38.2;276;8.9;13.3;568;18.4;416;13.5
White;Brooklyn;2005;2,879;1,978;68.7;1,747;60.7;88.3;934;32.4;47.2;813;28.2;41.1;231;8;11.7;524;18.2;310;10.8
White;Brooklyn;2006;2,850;1,997;70.1;1,798;63.1;90;930;32.6;46.6;868;30.5;43.5;199;7;10;501;17.6;301;10.6
White;Brooklyn;Aug 2006;2,850;2,102;73.8;1,868;65.5;88.9;943;33.1;44.9;925;32.5;44;234;8.2;11.1;398;14;299;10.5
White;Manhattan;2001;1,633;1,337;81.9;1,132;69.3;84.7;570;34.9;42.6;562;34.4;42;206;12.6;15.4;167;10.2;107;6.6
White;Manhattan;2002;1,640;1,319;80.4;1,162;70.9;88.1;561;34.2;42.5;601;36.6;45.6;157;9.6;11.9;189;11.5;87;5.3
White;Manhattan;2003;1,493;1,202;80.5;1,075;72;89.4;665;44.5;55.3;410;27.5;34.1;127;8.5;10.6;207;13.9;77;5.2
White;Manhattan;2004;1,580;1,277;80.8;1,186;75.1;92.9;647;40.9;50.7;539;34.1;42.2;91;5.8;7.1;238;15.1;53;3.4
White;Manhattan;2005;1,647;1,384;84;1,268;77;91.6;635;38.6;45.9;633;38.4;45.7;116;7;8.4;183;11.1;59;3.6
White;Manhattan;2006;1,743;1,468;84.2;1,380;79.2;94;603;34.6;41.1;777;44.6;52.9;88;5;6;197;11.3;48;2.8
White;Manhattan;Aug 2006;1,743;1,496;85.8;1,398;80.2;93.4;604;34.7;40.4;794;45.6;53.1;98;5.6;6.6;170;9.8;47;2.7
White;Queens;2001;2,807;1,801;64.2;1,394;49.7;77.4;713;25.4;39.6;681;24.3;37.8;413;14.7;22.9;544;19.4;372;13.3
White;Queens;2002;2,839;1,833;64.6;1,509;53.2;82.3;712;25.1;38.8;797;28.1;43.5;325;11.4;17.7;539;19;383;13.5
White;Queens;2003;2,580;1,747;67.7;1,441;55.9;82.5;703;27.2;40.2;738;28.6;42.2;306;11.9;17.5;436;16.9;341;13.2
White;Queens;2004;2,397;1,651;68.9;1,387;57.9;84;690;28.8;41.8;697;29.1;42.2;264;11;16;457;19.1;252;10.5
White;Queens;2005;2,361;1,667;70.6;1,369;58;82.1;635;26.9;38.1;734;31.1;44;298;12.6;17.9;369;15.6;248;10.5
White;Queens;2006;2,387;1,736;72.7;1,484;62.2;85.5;654;27.4;37.7;830;34.8;47.8;252;10.6;14.5;382;16;206;8.6
White;Queens;Aug 2006;2,387;1,826;76.5;1,530;64.1;83.8;659;27.6;36.1;871;36.5;47.7;296;12.4;16.2;292;12.2;206;8.6
White;Staten Island;2001;2,304;1,700;73.8;1,309;56.8;77;650;28.2;38.2;659;28.6;38.8;391;17;23;351;15.2;205;8.9
White;Staten Island;2002;2,389;1,768;74;1,384;57.9;78.3;628;26.3;35.5;756;31.6;42.8;384;16.1;21.7;364;15.2;187;7.8
White;Staten Island;2003;2,336;1,726;73.9;1,366;58.5;79.1;586;25.1;34;780;33.4;45.2;360;15.4;20.9;381;16.3;171;7.3
White;Staten Island;2004;2,243;1,686;75.2;1,366;60.9;81;687;30.6;40.7;679;30.3;40.3;320;14.3;19;315;14;167;7.4
White;Staten Island;2005;2,368;1,855;78.3;1,521;64.2;82;715;30.2;38.5;806;34;43.5;334;14.1;18;277;11.7;139;5.9
White;Staten Island;2006;2,461;1,961;79.7;1,678;68.2;85.6;746;30.3;38;932;37.9;47.5;283;11.5;14.4;268;10.9;174;7.1
White;Staten Island;Aug 2006;2,461;1,998;81.2;1,697;69;84.9;748;30.4;37.4;949;38.6;47.5;301;12.2;15.1;232;9.4;173;7
Female;Bronx;2001;5,532;2,711;49;1,409;25.5;52;519;9.4;19.1;890;16.1;32.8;1,305;23.6;48.1;1,547;28;1,052;19
Female;Bronx;2002;5,835;2,921;50.1;1,652;28.3;56.6;474;8.1;16.2;1,178;20.2;40.3;1,273;21.8;43.6;1,832;31.4;880;15.1
Female;Bronx;2003;6,688;3,498;52.3;2,081;31.1;59.5;649;9.7;18.6;1,432;21.4;40.9;1,417;21.2;40.5;1,969;29.4;1,015;15.2
Female;Bronx;2004;7,085;4,091;57.7;2,552;36;62.4;731;10.3;17.9;1,821;25.7;44.5;1,539;21.7;37.6;1,853;26.2;980;13.8
Female;Bronx;2005;7,288;4,432;60.8;3,010;41.3;67.9;809;11.1;18.3;2,201;30.2;49.7;1,422;19.5;32.1;1,652;22.7;879;12.1
Female;Bronx;2006;7,505;4,455;59.4;3,319;44.2;74.5;773;10.3;17.4;2,546;33.9;57.1;1,136;15.1;25.5;1,683;22.4;1,070;14.3
Female;Bronx;Aug 2006;7,505;4,792;63.9;3,475;46.3;72.5;781;10.4;16.3;2,694;35.9;56.2;1,317;17.5;27.5;1,364;18.2;1,052;14
Female;Brooklyn;2001;9,849;5,538;56.2;3,455;35.1;62.4;1,568;15.9;28.3;1,887;19.2;34.1;2,086;21.2;37.7;2,656;27;1,446;14.7
Female;Brooklyn;2002;10,253;5,723;55.8;3,861;37.7;67.5;1,534;15;26.8;2,327;22.7;40.7;1,867;18.2;32.6;2,827;27.6;1,388;13.5
Female;Brooklyn;2003;10,481;6,147;58.6;4,302;41;70;1,827;17.4;29.7;2,475;23.6;40.3;1,845;17.6;30;2,808;26.8;1,317;12.6
Female;Brooklyn;2004;10,918;6,810;62.4;4,905;44.9;72;2,044;18.7;30;2,861;26.2;42;1,905;17.4;28;2,731;25;1,177;10.8
Female;Brooklyn;2005;10,942;6,867;62.8;5,149;47.1;75;1,939;17.7;28.2;3,210;29.3;46.7;1,718;15.7;25;2,679;24.5;1,032;9.4
Female;Brooklyn;2006;10,790;7,034;65.2;5,618;52.1;79.9;2,048;19;29.1;3,570;33.1;50.8;1,416;13.1;20.1;2,319;21.5;1,163;10.8
Female;Brooklyn;Aug 2006;10,790;7,484;69.4;5,825;54;77.8;2,064;19.1;27.6;3,761;34.9;50.3;1,659;15.4;22.2;1,877;17.4;1,155;10.7
Female;Manhattan;2001;6,720;4,434;66;2,995;44.6;67.5;1,040;15.5;23.5;1,955;29.1;44.1;1,440;21.4;32.5;1,286;19.1;831;12.4
Female;Manhattan;2002;7,277;4,652;63.9;3,265;44.9;70.2;990;13.6;21.3;2,275;31.3;48.9;1,394;19.2;30;1,645;22.6;806;11.1
Female;Manhattan;2003;7,465;4,619;61.9;3,318;44.4;71.8;1,507;20.2;32.6;1,811;24.3;39.2;1,301;17.4;28.2;1,958;26.2;761;10.2
Female;Manhattan;2004;8,070;5,178;64.2;3,743;46.4;72.3;1,601;19.8;30.9;2,142;26.5;41.4;1,435;17.8;27.7;2,001;24.8;803;10
Female;Manhattan;2005;8,566;5,784;67.5;4,525;52.8;78.2;1,546;18;26.7;2,979;34.8;51.5;1,259;14.7;21.8;1,819;21.2;722;8.4
Female;Manhattan;2006;8,907;6,214;69.8;5,205;58.4;83.8;1,593;17.9;25.6;3,612;40.6;58.1;1,009;11.3;16.2;1,708;19.2;753;8.5
Female;Manhattan;Aug 2006;8,907;6,479;72.7;5,328;59.8;82.2;1,596;17.9;24.6;3,732;41.9;57.6;1,151;12.9;17.8;1,449;16.3;747;8.4
Female;Queens;2001;8,327;5,089;61.1;3,600;43.2;70.7;1,566;18.8;30.8;2,034;24.4;40;1,496;18;29.4;1,991;23.9;1,064;12.8
Female;Queens;2002;8,976;5,511;61.4;4,032;44.9;73.2;1,695;18.9;30.8;2,337;26;42.4;1,484;16.5;26.9;2,091;23.3;1,124;12.5
Female;Queens;2003;8,992;5,779;64.3;4,350;48.4;75.3;1,877;20.9;32.5;2,473;27.5;42.8;1,429;15.9;24.7;2,007;22.3;1,051;11.7
Female;Queens;2004;9,027;5,883;65.2;4,565;50.6;77.6;1,959;21.7;33.3;2,606;28.9;44.3;1,318;14.6;22.4;2,053;22.7;989;11
Female;Queens;2005;9,252;6,338;68.5;4,937;53.4;77.9;2,000;21.6;31.6;2,937;31.7;46.3;1,401;15.1;22.1;1,682;18.2;949;10.3
Female;Queens;2006;9,356;6,578;70.3;5,411;57.8;82.3;2,065;22.1;31.4;3,346;35.8;50.9;1,167;12.5;17.7;1,718;18.4;878;9.4
Female;Queens;Aug 2006;9,356;6,956;74.3;5,588;59.7;80.3;2,084;22.3;30;3,504;37.5;50.4;1,368;14.6;19.7;1,343;14.4;875;9.4
Female;Staten Island;2001;1,805;1,307;72.4;964;53.4;73.8;453;25.1;34.7;511;28.3;39.1;344;19.1;26.3;304;16.8;149;8.3
Female;Staten Island;2002;2,023;1,426;70.5;1,092;54;76.6;461;22.8;32.3;631;31.2;44.2;335;16.6;23.5;341;16.9;186;9.2
Female;Staten Island;2003;2,115;1,515;71.6;1,164;55;76.8;479;22.6;31.6;685;32.4;45.2;351;16.6;23.2;389;18.4;162;7.7
Female;Staten Island;2004;2,050;1,478;72.1;1,185;57.8;80.2;568;27.7;38.4;617;30.1;41.7;293;14.3;19.8;363;17.7;156;7.6
Female;Staten Island;2005;2,216;1,633;73.7;1,303;58.8;79.8;569;25.7;34.8;734;33.1;44.9;330;14.9;20.2;311;14;158;7.1
Female;Staten Island;2006;2,190;1,665;76;1,389;63.4;83.4;619;28.3;37.2;770;35.2;46.2;276;12.6;16.6;289;13.2;179;8.2
Female;Staten Island;Aug 2006;2,190;1,698;77.5;1,398;63.8;82.3;621;28.4;36.6;777;35.5;45.8;300;13.7;17.7;257;11.7;178;8.1
Male;Bronx;2001;5,921;2,202;37.2;1,235;20.9;56.1;479;8.1;21.8;756;12.8;34.3;966;16.3;43.9;1,965;33.2;1,386;23.4
Male;Bronx;2002;6,197;2,407;38.8;1,466;23.7;60.9;518;8.4;21.5;948;15.3;39.4;944;15.2;39.2;2,215;35.7;1,260;20.3
Male;Bronx;2003;6,944;2,891;41.6;1,780;25.6;61.6;606;8.7;21;1,174;16.9;40.6;1,111;16;38.4;2,289;33;1,457;21
Male;Bronx;2004;7,279;3,357;46.1;2,073;28.5;61.8;664;9.1;19.8;1,409;19.4;42;1,284;17.6;38.2;2,316;31.8;1,323;18.2
Male;Bronx;2005;7,887;3,797;48.1;2,608;33.1;68.7;735;9.3;19.4;1,873;23.7;49.3;1,189;15.1;31.3;2,291;29;1,268;16.1
Male;Bronx;2006;8,074;4,069;50.4;2,993;37.1;73.6;785;9.7;19.3;2,208;27.3;54.3;1,076;13.3;26.4;2,141;26.5;1,332;16.5
Male;Bronx;Aug 2006;8,074;4,423;54.8;3,130;38.8;70.8;791;9.8;17.9;2,339;29;52.9;1,293;16;29.2;1,796;22.2;1,323;16.4
Male;Brooklyn;2001;10,112;4,220;41.7;2,722;26.9;64.5;1,261;12.5;29.9;1,461;14.4;34.6;1,505;14.9;35.7;3,445;34.1;2,101;20.8
Male;Brooklyn;2002;10,555;4,614;43.7;3,189;30.2;69.1;1,331;12.6;28.8;1,858;17.6;40.3;1,431;13.6;31;3,541;33.5;1,981;18.8
Male;Brooklyn;2003;10,853;4,917;45.3;3,409;31.4;69.3;1,412;13;28.7;1,997;18.4;40.6;1,508;13.9;30.7;3,763;34.7;1,881;17.3
Male;Brooklyn;2004;11,435;5,493;48;3,967;34.7;72.2;1,697;14.8;30.9;2,270;19.9;41.3;1,526;13.3;27.8;3,756;32.8;1,796;15.7
Male;Brooklyn;2005;11,389;5,736;50.4;4,339;38.1;75.6;1,679;14.7;29.3;2,660;23.4;46.4;1,397;12.3;24.4;3,641;32;1,546;13.6
Male;Brooklyn;2006;11,387;6,006;52.7;4,822;42.3;80.3;1,669;14.7;27.8;3,153;27.7;52.5;1,184;10.4;19.7;3,317;29.1;1,568;13.8
Male;Brooklyn;Aug 2006;11,387;6,559;57.6;5,120;45;78.1;1,699;14.9;25.9;3,421;30;52.2;1,439;12.6;21.9;2,771;24.3;1,561;13.7
Male;Manhattan;2001;5,950;3,046;51.2;1,968;33.1;64.6;811;13.6;26.6;1,157;19.4;38;1,079;18.1;35.4;1,543;25.9;1,131;19
Male;Manhattan;2002;6,186;3,094;50;2,232;36.1;72.1;882;14.3;28.5;1,350;21.8;43.6;865;14;28;1,916;31;937;15.1
Male;Manhattan;2003;6,414;2,994;46.7;2,181;34;72.8;1,020;15.9;34.1;1,161;18.1;38.8;813;12.7;27.2;2,282;35.6;968;15.1
Male;Manhattan;2004;7,057;3,602;51;2,706;38.3;75.1;1,210;17.1;33.6;1,496;21.2;41.5;896;12.7;24.9;2,242;31.8;1,039;14.7
Male;Manhattan;2005;7,277;4,032;55.4;3,098;42.6;76.8;1,127;15.5;28;1,971;27.1;48.9;933;12.8;23.1;2,055;28.2;875;12
Male;Manhattan;2006;7,509;4,197;55.9;3,510;46.7;83.6;1,188;15.8;28.3;2,322;30.9;55.3;687;9.1;16.4;2,011;26.8;931;12.4
Male;Manhattan;Aug 2006;7,509;4,468;59.5;3,665;48.8;82;1,195;15.9;26.7;2,470;32.9;55.3;803;10.7;18;1,745;23.2;927;12.3
Male;Queens;2001;8,684;4,091;47.1;2,852;32.8;69.7;1,128;13;27.6;1,724;19.9;42.1;1,242;14.3;30.4;2,688;31;1,632;18.8
Male;Queens;2002;9,286;4,358;46.9;3,218;34.7;73.8;1,142;12.3;26.2;2,076;22.4;47.6;1,140;12.3;26.2;2,870;30.9;1,692;18.2
Male;Queens;2003;9,423;4,676;49.6;3,567;37.9;76.3;1,518;16.1;32.5;2,049;21.7;43.8;1,109;11.8;23.7;2,862;30.4;1,667;17.7
Male;Queens;2004;9,698;5,039;52;3,885;40.1;77.1;1,645;17;32.6;2,240;23.1;44.5;1,154;11.9;22.9;2,948;30.4;1,516;15.6
Male;Queens;2005;10,259;5,525;53.9;4,353;42.4;78.8;1,618;15.8;29.3;2,735;26.7;49.5;1,172;11.4;21.2;2,753;26.8;1,486;14.5
Male;Queens;2006;10,202;5,887;57.7;4,874;47.8;82.8;1,572;15.4;26.7;3,302;32.4;56.1;1,013;9.9;17.2;2,554;25;1,378;13.5
Male;Queens;Aug 2006;10,202;6,422;62.9;5,164;50.6;80.4;1,597;15.7;24.9;3,567;35;55.5;1,258;12.3;19.6;2,020;19.8;1,377;13.5
Male;Staten Island;2001;2,067;1,258;60.9;937;45.3;74.5;423;20.5;33.6;514;24.9;40.9;321;15.5;25.5;482;23.3;268;13
Male;Staten Island;2002;2,111;1,295;61.3;948;44.9;73.2;400;18.9;30.9;548;26;42.3;348;16.5;26.9;503;23.8;240;11.4
Male;Staten Island;2003;2,103;1,297;61.7;1,005;47.8;77.5;404;19.2;31.1;601;28.6;46.3;292;13.9;22.5;530;25.2;212;10.1
Male;Staten Island;2004;2,092;1,310;62.6;1,035;49.5;79;461;22;35.2;574;27.4;43.8;275;13.1;21;481;23;225;10.8
Male;Staten Island;2005;2,244;1,465;65.3;1,164;51.9;79.5;490;21.8;33.4;674;30;46;301;13.4;20.5;447;19.9;204;9.1
Male;Staten Island;2006;2,413;1,681;69.7;1,429;59.2;85;573;23.7;34.1;856;35.5;50.9;252;10.4;15;394;16.3;235;9.7
Male;Staten Island;Aug 2006;2,413;1,725;71.5;1,458;60.4;84.5;573;23.7;33.2;885;36.7;51.3;267;11.1;15.5;350;14.5;235;9.7
